iter	Passed	Remaining
801	22571	5572
802	22606	5546
803	22622	5514
804	22637	5483
805	22653	5452
806	22669	5421
807	22685	5390
808	22717	5363
809	22733	5332
810	22750	5301
811	22765	5270
812	22781	5239
813	22796	5209
814	22812	5178
815	22828	5147
816	22853	5118
817	22869	5088
818	22884	5057
819	22900	5026
820	22915	4996
821	22933	4966
822	22950	4935
823	22967	4905
824	22985	4875
825	23000	4845
826	23016	4814
827	23036	4785
828	23053	4755
829	23079	4727
830	23095	4696
831	23110	4666
832	23128	4636
833	23145	4606
834	23161	4576
835	23177	4546
836	23193	4516
837	23208	4486
838	23224	4456
839	23240	4426
840	23256	4396
841	23271	4366
842	23287	4336
843	23302	4307
844	23318	4277
845	23334	4247
846	23352	4218
847	23368	4188
848	23383	4158
849	23399	4129
850	23414	4099
851	23430	4070
852	23446	4040
853	23462	4011
854	23481	3982
855	23535	3959
856	23552	3930
857	23570	3900
858	23598	3873
859	23614	3844
860	23633	3815
861	23648	3786
862	23664	3756
863	23679	3727
864	23695	3698
865	23723	3670
866	23739	3641
867	23755	3612
868	23771	3583
869	23789	3554
870	23815	3527
871	23831	3498
872	23846	3469
873	23861	3440
874	23879	3411
875	23911	3384
876	23927	3355
877	23944	3327
878	24035	3308
879	24052	3279
880	24070	3251
881	24111	3225
882	24129	3197
883	24147	3168
884	24163	3139
885	24179	3111
886	24195	3082
887	24210	3053
888	24226	3024
889	24241	2996
890	24257	2967
891	24272	2938
892	24287	2910
893	24304	2881
894	24322	2853
895	24385	2830
896	24402	2802
897	24417	2773
898	24432	2744
899	24448	2716
900	24464	2688
901	24483	2660
902	24514	2633
903	24529	2604
904	24546	2576
905	24574	2549
906	24590	2521
907	24608	2493
908	24627	2465
909	24648	2437
910	24664	2409
911	24679	2381
912	24697	2353
913	24721	2326
914	24738	2298
915	24757	2270
916	24775	2242
917	24794	2214
918	24811	2186
919	24827	2158
920	24843	2130
921	24859	2103
922	24874	2075
923	24890	2047
924	24906	2019
925	24921	1991
926	24937	1963
927	24953	1936
928	24992	1910
929	25030	1884
930	25046	1856
931	25062	1828
932	25078	1800
933	25113	1774
934	25134	1747
935	25148	1719
936	25164	1691
937	25179	1664
938	25196	1636
939	25214	1609
940	25230	1581
941	25248	1554
942	25268	1527
943	25283	1499
944	25301	1472
945	25319	1445
946	25335	1417
947	25351	1390
948	25366	1363
949	25382	1335
950	25399	1308
951	25421	1281
952	25498	1257
953	25514	1230
954	25529	1202
955	25544	1175
956	25560	1148
957	25576	1121
958	25591	1094
959	25612	1067
960	25641	1040
961	25656	1013
962	25675	986
963	25694	959
964	25711	932
965	25729	905
966	25745	878
967	25760	851
968	25776	824
969	25791	797
970	25806	770
971	25824	743
972	25840	717
973	25856	690
974	25876	663
975	25901	636
976	25917	610
977	25934	583
978	25954	556
979	25982	530
980	25999	503
981	26017	476
982	26046	450
983	26064	423
984	26081	397
985	26101	370
986	26116	343
987	26131	317
988	26146	290
989	26162	264
990	26177	237
991	26192	211
992	26207	184
993	26223	158
994	26243	131
995	26307	105
996	26324	79
997	26339	52
998	26355	26
999	26370	0
